what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907459400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907463864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907465101
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1526907465335
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907466757
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526907467617
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907470911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907487297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907572891
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1526907575071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907578370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907580870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907583542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907584495
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907586574
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526907587495
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907590761
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526907597040
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907600338
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526907605019
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907608292
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526907621096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907623697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907624399
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1526907626010
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907626602
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526907627556
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907630810
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526907635947
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907639230
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526907651904
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907655217
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1526907683855
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526907688176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907715789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907770108
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526907785618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907788136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907791188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526907792278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526909940571
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1526909944270
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1526909944270
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1526909944333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.closeAll",1526909944380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526909945380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526909946427
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1526909946458
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1526909946804
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1526909946804
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1526909946804
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1526909946804
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1526909946819
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1526909946819
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1526909946819
